Região;Local;Longitude;Latitude;Referência;;;;;;;;;
América do Sul;    puerto cayo;-80;-0,3; Rafael V. et al. (2000); El Genero Drosophila en tres p ...;;;;;;;;
América do Sul;    sucumbios;-80;-0,3; Acurio A. and Rafael V. (2009); Diversity and geographical dis ...;;;;;;;;
América do Sul;    sucumbios;-80;-0,3; Rafael V. and Vela D. (2000); Drosophila distribution in Ecu ...;;;;;;;;
América do Sul;    parque nacional yasuni;-76,23;-0,39; Acurio A.E. and Rafael V.L. (2009); Inventario Taxonomico de Droso ...;;;;;;;;
América do Sul;    soure;-48,3;-0,4; Burla H. et al. (1949); The willistoni group of siblin ...;;;;;;;;
América do Sul;    pichincha;-75,21;-0,45; Acurio A. and Rafael V. (2009); Diversity and geographical dis ...;;;;;;;;
América do Sul;    galapagos;-90,05;-0,5; Acurio A. and Rafael V. (2009); Diversity and geographical dis ...;;;;;;;;
América do Sul;    galapagos;-90,05;-0,5; Curran C.H. (1932); The Norwegian Zoological Exped ...;;;;;;;;
América do Sul;    galapagos;-90,05;-0,5; Rafael V. and Vela D. (2000); Drosophila distribution in Ecu ...;;;;;;;;
América do Sul;    south seymour;-89,25;-0,5; Johnson C.W. (1901); Diptera of the Williams Galapa ...;;;;;;;;
América do Sul;    south seymour;-89,25;-0,5; Johnson C.W. (1924); Diptera of the Williams Galapa ...;;;;;;;;
América do Sul;    jaton sacha;-77,5;-1; Sassi A.K. et al. (2005); Transposable elements P and gy ...;;;;;;;;
América do Sul;    jaton sacha;-77,5;-1; Silva J.C. and Kidwell M.G. (2004); Evolution of P Elements in Nat ...;;;;;;;;
América do Sul;    yaguaracaca;-72;-1; Hoenigsberg H.F. et al. (1973); The Drosophila willistoni grou ...;;;;;;;;
América do Sul;    marajo oriente;-49;-1; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    cape maguari;-48,3;-1; Burla H. et al. (1949); The willistoni group of siblin ...;;;;;;;;
América do Sul;    montecristi;-80,39;-1,05; Rafael V. (2007); Drosophila malerkotliana y Zap ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Burla H. et al. (1949); The willistoni group of siblin ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Counce S.J. (1963); Developmental Morphology of Po ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; da Cunha A.B. and Dobzhansky T. (1954); A further study of chromosomal ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; da Cunha A.B. et al. (1950); Adaptive chromosomal polymorph ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; da Cunha A.B. et al. (1959); Genetics of natural population ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Dobzhansky T. (1946); Complete reproductive isolatio ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Dobzhansky T. (1965);" Wild"" and ""Domestic"" Species o ...";;;;;;;;
América do Sul;    belem;-48,29;-1,27; Dobzhansky T. and Mayr E. (1944); Experiments on sexual isolatio ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Garcia A.C.L. et al. (2006); Identification of the sibling ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Pavan C. (1950); A Variabilidade Genetica e sua ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Pavan C. and Knapp E.N. (1954); The genetic population structu ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Pavan C. et al. (1951); Concealed genic variability in ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Pavan C. et al. (1957); Heterosis and elimination of w ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Rizki M.T.M. (1955); Genetic modification of a temp ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Sassi A.K. et al. (2005); Transposable elements P and gy ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Silva J.C. and Kidwell M.G. (2004); Evolution of P Elements in Nat ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Spassky B. and Dobzhansky T. (1950); Comparative genetics of Drosop ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Spieth H.T. (1947); Sexual behavior and isolation ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; Spieth H.T. (1949); Sexual behavior and isolation ...;;;;;;;;
América do Sul;    belem;-48,29;-1,27; de Toledo Cardoso de Mello J. (1971); Estudo da esterilidade entre d ...;;;;;;;;
